field_id,source_model,field_name,field_display_name_ja,target_model,relation_table,relation_column1,relation_column2,field_state,field_class_initial
7930,product.label.layout,move_ids,仕訳,stock.move,product_label_layout_stock_move_rel,product_label_layout_id,stock_move_id,base,SF
4013,product.label.layout,product_ids,プロダクト,product.product,product_label_layout_product_product_rel,product_label_layout_id,product_product_id,base,SF
4014,product.label.layout,product_tmpl_ids,プロダクトテンプレート,product.template,product_label_layout_product_template_rel,product_label_layout_id,product_template_id,base,SF
3857,product.pricelist,country_group_ids,国グループ,res.country.group,res_country_group_pricelist_rel,pricelist_id,res_country_group_id,base,SF
3844,product.pricelist,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
5064,product.product,account_tag_ids,勘定タグ,account.account.tag,,,,base,SF
3647,product.product,additional_product_tag_ids,バリアントタグ,product.tag,product_tag_product_product_rel,product_product_id,product_tag_id,base,SF
3648,product.product,all_product_tag_ids,すべてのプロダクトタグ,product.tag,,,,base,SF
3673,product.product,combo_ids,コンボの選択肢,product.combo,,,,base,SF
3619,product.product,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
6569,product.product,optional_product_ids,オプションプロダクト,product.template,,,,base,SF
3698,product.product,product_tag_ids,タグ,product.tag,,,,base,SF
3636,product.product,product_template_attribute_value_ids,属性値,product.template.attribute.value,product_variant_combination,product_product_id,product_template_attribute_value_id,base,SF
3637,product.product,product_template_variant_value_ids,バリアント値,product.template.attribute.value,product_variant_combination,product_product_id,product_template_attribute_value_id,base,SF
7765,product.product,route_from_categ_ids,カテゴリルート,stock.route,,,,base,SF
7764,product.product,route_ids,ルート,stock.route,,,,base,SF
5061,product.product,supplier_taxes_id,仕入税,account.tax,,,,base,SF
5060,product.product,taxes_id,販売税,account.tax,,,,base,SF
3684,product.product,uom_ids,パッケージング,uom.uom,,,,base,SF
3691,product.product,valid_product_template_attribute_line_ids,有効なプロダクト属性明細,product.template.attribute.line,,,,base,SF
8054,product.replenish,allowed_route_ids,許可されたルート,stock.route,,,,base,SF
8058,product.replenish,allowed_uom_ids,許可された単位,uom.uom,,,,base,SF
3927,product.tag,product_ids,このタグを使用するすべてのプロダクトバリアント,product.product,,,,base,SF
3926,product.tag,product_product_ids,プロダクトバリアント,product.product,product_tag_product_product_rel,product_tag_id,product_product_id,base,SF
3925,product.tag,product_template_ids,プロダクトテンプレート,product.template,product_tag_product_template_rel,product_tag_id,product_template_id,base,SF
5057,product.template,account_tag_ids,勘定タグ,account.account.tag,account_account_tag_product_template_rel,product_template_id,account_account_tag_id,base,SF
3561,product.template,combo_ids,コンボの選択肢,product.combo,product_combo_product_template_rel,product_template_id,product_combo_id,base,SF
3547,product.template,message_partner_ids,フォロワー (取引先),res.partner,,,,base,SF
